관측소, 오존농도, 미세먼지(㎍/m³), 초미세먼지(㎍/m³)
강남구, 0.025, 65, 34
강남대로, 0.019, 70, 35
강동구, 0.024, 70, 34
강변북로, 0.020, 75, 37
강북구, 0.027, 67, 31
강서구, 0.031, 66, 36
공항대로, 0.023, 75, 32
관악구, 0.023, 55, 29
관악산, 0.050, 56, 28
광진구, 0.024, 64, 32
구로구, 0.026, 68, 35
궁동, 0.023, 64, 34
금천구, 0.026, 62, 34
남산, 0.032, 61, 30
노원구, 0.027, 63, 30
도봉구, 0.031, 54, 30
도산대로, 0.019, 81, 37
동대문구, 0.025, 66, 28
동작구, 0.025, 62, 34
동작대로, 0.019, 71, 28
마포구, 0.022, 63, 32
마포아트센터, 0.030, 64, 33
북한산, 0.035, 52, 31
서대문구, 0.028, 58, 35
서울숲, 0.027, 68, 36
